,Unit,Session,Type,Description,Weight,Due,Length,School
3,INFS3120,2024-S1C-ND-CC,Assignment,Group Project,25%,0 May 2024,Up to 2500 Words,Business Information Systems
0,INFS3400,2024-S1C-ND-CC,Participation,Attendance,0%,Ongoing,NA,Business Information Systems
1,INFS3400,2024-S1C-ND-CC,Assignment,Individual Statement One,0%,3 Mar 2024,500 words,Business Information Systems
2,INFS3400,2024-S1C-ND-CC,Assignment,Group Plan,20%,4 Mar 2024,2000 words,Business Information Systems
3,INFS3400,2024-S1C-ND-CC,Assignment,Individual Statement Two,20%,1 Apr 2024,500 words,Business Information Systems
4,INFS3400,2024-S1C-ND-CC,Presentation,Group Presentation,20%,7 May 2024,≤10 minutes,Business Information Systems
5,INFS3400,2024-S1C-ND-CC,Assignment,Group Project Report,40%,4 May 2024,4000 words,Business Information Systems
6,INFS3400,2024-S1C-ND-CC,Assignment,Group work survey,0%,6 May 2024,N/A,Business Information Systems
0,INFS3400,2024-S1CIFE-BM-CC,Participation,Attendance,0%,Ongoing,NA,Business Information Systems
1,INFS3400,2024-S1CIFE-BM-CC,Assignment,Individual Statement One,0%,4 Jan 2024,500 words,Business Information Systems
2,INFS3400,2024-S1CIFE-BM-CC,Assignment,Group Plan,20%,0 Jan 2024,2000 words,Business Information Systems
3,INFS3400,2024-S1CIFE-BM-CC,Presentation,Group Presentation,20%,6 Feb 2024,≤10 minutes,Business Information Systems
4,INFS3400,2024-S1CIFE-BM-CC,Assignment,Group Project Report,40%,6 Feb 2024,4000 words,Business Information Systems
5,INFS3400,2024-S1CIFE-BM-CC,Assignment,Individual Statement Two,20%,3 Feb 2024,500 words,Business Information Systems
6,INFS3400,2024-S1CIFE-BM-CC,Assignment,Group work survey,0%,8 Feb 2024,NA,Business Information Systems
0,CLAW1001,2024-S1C-ND-CC,,Final Exam,55%,Formal exam period,2 hours,Accounting
1,CLAW1001,2024-S1C-ND-CC,Participation,Tutorial assessment,10%,Ongoing,Ongoing,Accounting
2,CLAW1001,2024-S1C-ND-CC,Tutorial quiz,In-class quiz,10%,Week 03,30 minutes,Accounting
3,CLAW1001,2024-S1C-ND-CC,Assignment,Written Assignment,25%,2 Apr 2024,"1,500 words",Accounting
0,CLAW1003,2024-S1C-ND-CC,,Final Exam,50%,Formal exam period,2 hours,Accounting
1,CLAW1003,2024-S1C-ND-CC,Online task,Online test,10%,Week 03,30 minutes,Accounting
2,CLAW1003,2024-S1C-ND-CC,,Mid-semester exam,20%,8 Apr 2024,1 hour,Accounting
3,CLAW1003,2024-S1C-ND-CC,Assignment,Assignment,20%,6 Apr 2024,"2,000 words",Accounting
0,CLAW2205,2024-S1C-ND-CC,Assignment,Individual research assignment,40%,7 Jun 2024,2000 words,Accounting
1,CLAW2205,2024-S1C-ND-CC,Presentation,Group presentation,20%,Multiple weeks,Two presentations (each 10 mins/10 PPTs),Accounting
2,CLAW2205,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,Continuous throughout semester,Accounting
3,CLAW2205,2024-S1C-ND-CC,Small test,First In-class Test,15%,Week 06,I hour short answer in-class test,Accounting
4,CLAW2205,2024-S1C-ND-CC,Small test,Second In-class test,15%,Week 13,1 hour in class test,Accounting
0,CLAW2208,2024-S1C-ND-CC,Assignment,Individual Research Assignment,35%,7 Jun 2024,2500 words,Accounting
1,CLAW2208,2024-S1C-ND-CC,Presentation,Presentation,20%,Multiple weeks,20 Powerpoint Slides,Accounting
2,CLAW2208,2024-S1C-ND-CC,Participation,Class participation,10%,Multiple weeks,Continuous,Accounting
3,CLAW2208,2024-S1C-ND-CC,Small test,In-class test,15%,Week 06,1 hour,Accounting
4,CLAW2208,2024-S1C-ND-CC,Small test,In-class test,20%,Week 13,1 hour,Accounting
0,CLAW2212,2024-S1C-ND-CC,Assignment,Individual Research assignment,40%,7 Jun 2024,2000 words,Accounting
1,CLAW2212,2024-S1C-ND-CC,Presentation,Presentation,20%,Multiple weeks,10 PPT /10 minutes oral presentation,Accounting
2,CLAW2212,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,Continuous throughout semester,Accounting
3,CLAW2212,2024-S1C-ND-CC,Small test,First In-class test,15%,Week 06,One hour,Accounting
4,CLAW2212,2024-S1C-ND-CC,Small test,Second In-class test,15%,Week 13,One hour,Accounting
0,CLAW3600,2024-S1C-ND-CC,Presentation,Individual presentation (FWoW),10%,2 Apr 2024,3 minutes,Accounting
1,CLAW3600,2024-S1C-ND-CC,Presentation,Group Case Study,40%,6 May 2024,15 minutes,Accounting
2,CLAW3600,2024-S1C-ND-CC,Participation,Individual Self-Reflection,10%,4 May 2024,750 words,Accounting
3,CLAW3600,2024-S1C-ND-CC,Assignment,Individual assignment,40%,1 May 2024,2500 words,Accounting
0,CLAW3209,2024-S1C-ND-CC,Assignment,Individual reflection,5%,4 May 2024,n/a,Accounting
1,CLAW3209,2024-S1C-ND-CC,Assignment,Major Assignment,50%,1 May 2024,1500-3000 words,Accounting
2,CLAW3209,2024-S1C-ND-CC,Participation,Leading Class Discussion and Weekly Participation,15%,Weekly,n/a,Accounting
3,CLAW3209,2024-S1C-ND-CC,Presentation,Major Presentation,20%,Weekly,n/a,Accounting
4,CLAW3209,2024-S1C-ND-CC,Small continuous assessment,Critique,10%,Weekly,n/a,Accounting
0,CLAW3400,2024-S1C-ND-CC,Participation,Attendance,0%,Ongoing,NA,Accounting
1,CLAW3400,2024-S1C-ND-CC,Assignment,Individual Statement One,0%,3 Mar 2024,500 words,Accounting
2,CLAW3400,2024-S1C-ND-CC,Assignment,Group Plan,20%,4 Mar 2024,2000 words,Accounting
3,CLAW3400,2024-S1C-ND-CC,Assignment,Individual Statement Two,20%,1 Apr 2024,500 words,Accounting
4,CLAW3400,2024-S1C-ND-CC,Presentation,Group Presentation,20%,7 May 2024,≤10 minutes,Accounting
5,CLAW3400,2024-S1C-ND-CC,Assignment,Group Project Report,40%,4 May 2024,4000 words,Accounting
6,CLAW3400,2024-S1C-ND-CC,Assignment,Group work survey,0%,6 May 2024,NA,Accounting
0,CLAW3400,2024-S1CIFE-BM-CC,Participation,Attendance,0%,Ongoing,NA,Accounting
1,CLAW3400,2024-S1CIFE-BM-CC,Assignment,Individual Statement One,0%,4 Jan 2024,500 words,Accounting
2,CLAW3400,2024-S1CIFE-BM-CC,Assignment,Group Plan,20%,0 Jan 2024,2000 words,Accounting
3,CLAW3400,2024-S1CIFE-BM-CC,Presentation,Group Presentation,20%,6 Feb 2024,≤10 minutes,Accounting
4,CLAW3400,2024-S1CIFE-BM-CC,Assignment,Group Project Report,40%,6 Feb 2024,4000 words,Accounting
5,CLAW3400,2024-S1CIFE-BM-CC,Assignment,Individual Statement Two,20%,3 Feb 2024,500 words,Accounting
6,CLAW3400,2024-S1CIFE-BM-CC,Assignment,Group work survey,0%,8 Feb 2024,NA,Accounting
0,CHEM1112,2024-S1C-ND-CC,,Final Supervised Exam,45%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM1112,2024-S1C-ND-CC,Online task,Pre-laboratory quizzes,4%,Multiple weeks,15-30 minutes,Chemistry Academic Operations
2,CHEM1112,2024-S1C-ND-CC,Small continuous assessment,Laboratory Log Book,7%,Multiple weeks,1-2 pages,Chemistry Academic Operations
3,CHEM1112,2024-S1C-ND-CC,Skills-based evaluation,In-laboratory assessment,4%,Multiple weeks,Varied,Chemistry Academic Operations
4,CHEM1112,2024-S1C-ND-CC,Online task,Early Feedback Task,2%,8 Mar 2024,"~20 min, 1 attempt only in class",Chemistry Academic Operations
5,CHEM1112,2024-S1C-ND-CC,Assignment,Spectroscopy Problem Solving Assignment,10%,7 Mar 2024,"2x canvas quizzes, 2 weeks to complete",Chemistry Academic Operations
6,CHEM1112,2024-S1C-ND-CC,Assignment,Major post-laboratory assessment,10%,8 Apr 2024,Varied,Chemistry Academic Operations
7,CHEM1112,2024-S1C-ND-CC,Small continuous assessment,Workshop quizzes,18%,Weekly,"~20 min each, 1 attempt only in class",Chemistry Academic Operations
0,CHEM1112,2024-S1CIJA-BM-CC,,End of semester exam,30%,February exam weeks,1.5 hours,Chemistry Academic Operations
1,CHEM1112,2024-S1CIJA-BM-CC,Online task,Workshop quizzes,20%,Multiple weeks,20 minutes,Chemistry Academic Operations
2,CHEM1112,2024-S1CIJA-BM-CC,,Mid-course exam,30%,5 Jan 2024,1.5 hours,Chemistry Academic Operations
3,CHEM1112,2024-S1CIJA-BM-CC,Skills-based evaluation,Laboratory work,20%,Weekly,Eight three-hour lab sessions.,Chemistry Academic Operations
0,CHEM2521,2024-S1C-ND-CC,,final exam,55%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM2521,2024-S1C-ND-CC,Presentation,Laboratory experiment 2 oral presentation,3.75%,Multiple weeks,Multiple weeks,Chemistry Academic Operations
2,CHEM2521,2024-S1C-ND-CC,Skills-based evaluation,Laboratory experiment 4 poster,2.5%,Multiple weeks,Multiple weeks,Chemistry Academic Operations
3,CHEM2521,2024-S1C-ND-CC,Skills-based evaluation,Laboratory in-class assessment,12.5%,Multiple weeks,Continuous throughout laboratory session,Chemistry Academic Operations
4,CHEM2521,2024-S1C-ND-CC,Skills-based evaluation,Laboratory experiment 1 short report,2.5%,Multiple weeks,Multiple weeks,Chemistry Academic Operations
5,CHEM2521,2024-S1C-ND-CC,Skills-based evaluation,Laboratory experiment 3 long report,3.75%,Multiple weeks,Multiple weeks,Chemistry Academic Operations
6,CHEM2521,2024-S1C-ND-CC,Small continuous assessment,Online Test 1,5%,4 Mar 2024,60 minutes,Chemistry Academic Operations
7,CHEM2521,2024-S1C-ND-CC,Small continuous assessment,Online Test 2,5%,2 May 2024,60 minutes,Chemistry Academic Operations
8,CHEM2521,2024-S1C-ND-CC,Small continuous assessment,Pre‐lecture quiz,10%,Weekly,30 minutes,Chemistry Academic Operations
0,CHEM2921,2024-S1C-ND-CC,,final exam,52.5%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM2921,2024-S1C-ND-CC,Presentation,Laboratory experiment 2 oral presentation,3.75%,Multiple weeks,Multiple weeks,Chemistry Academic Operations
2,CHEM2921,2024-S1C-ND-CC,Skills-based evaluation,Laboratory in-class assessment,12.5%,Multiple weeks,Continuous throughout laboratory session,Chemistry Academic Operations
3,CHEM2921,2024-S1C-ND-CC,Skills-based evaluation,Laboratory experiment 3 long report,3.75%,Multiple weeks,Multiple weeks,Chemistry Academic Operations
4,CHEM2921,2024-S1C-ND-CC,Skills-based evaluation,Laboratory experiment 4 poster,2.5%,Please select a valid week from the list below,Multiple weeks,Chemistry Academic Operations
5,CHEM2921,2024-S1C-ND-CC,Skills-based evaluation,Laboratory experiment 1 short report,2.5%,Please select a valid week from the list below,Multiple weeks,Chemistry Academic Operations
6,CHEM2921,2024-S1C-ND-CC,Small continuous assessment,Online Test 1,3.75%,4 Mar 2024,60 minutes,Chemistry Academic Operations
7,CHEM2921,2024-S1C-ND-CC,Assignment,Assignment 1,7.5%,4 Apr 2024,2000 words,Chemistry Academic Operations
8,CHEM2921,2024-S1C-ND-CC,Small continuous assessment,Online Test 2,3.75%,2 May 2024,60 minutes,Chemistry Academic Operations
9,CHEM2921,2024-S1C-ND-CC,Assignment,Assignment 2,7.5%,6 May 2024,2000 words,Chemistry Academic Operations
0,CHEM2522,2024-S1C-ND-CC,,Final exam,55%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM2522,2024-S1C-ND-CC,Presentation,Laboratory experiment 2 oral presentation,5%,Multiple weeks,Multiple weeks,Chemistry Academic Operations
2,CHEM2522,2024-S1C-ND-CC,Skills-based evaluation,Laboratory Program,12.5%,Multiple weeks,Continuous throughout laboratory session,Chemistry Academic Operations
3,CHEM2522,2024-S1C-ND-CC,Skills-based evaluation,Laboratory experiment 1 short report,2.5%,Multiple weeks,Multiple weeks,Chemistry Academic Operations
4,CHEM2522,2024-S1C-ND-CC,Skills-based evaluation,Laboratory experiment 3 long report,5%,Multiple weeks,Multiple weeks,Chemistry Academic Operations
5,CHEM2522,2024-S1C-ND-CC,Small continuous assessment,Tutorial Quiz,20%,Ongoing,"30 minutes, 15 MCQ",Chemistry Academic Operations
0,CHEM2922,2024-S1C-ND-CC,,Final exam,55%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM2922,2024-S1C-ND-CC,Skills-based evaluation,Laboratory Program,12.5%,Multiple weeks,Continuous throughout laboratory session,Chemistry Academic Operations
2,CHEM2922,2024-S1C-ND-CC,Skills-based evaluation,Laboratory experiment 3 long report,5%,Multiple weeks,Multiple weeks,Chemistry Academic Operations
3,CHEM2922,2024-S1C-ND-CC,Small continuous assessment,Tutorial Quiz,20%,Ongoing,"30 minutes, 15 MCQ",Chemistry Academic Operations
4,CHEM2922,2024-S1C-ND-CC,Presentation,Laboratory experiment 2 oral presentation,5%,Please select a valid week from the list below,Multiple weeks,Chemistry Academic Operations
5,CHEM2922,2024-S1C-ND-CC,Skills-based evaluation,Laboratory experiment 1 short report,2.5%,Please select a valid week from the list below,Multiple weeks,Chemistry Academic Operations
0,CHEM3118,2024-S1C-ND-CC,,Final Exam,38%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM3118,2024-S1C-ND-CC,Presentation,Laboratory Presentation,9.5%,Multiple weeks,5 min plus discussion,Chemistry Academic Operations
2,CHEM3118,2024-S1C-ND-CC,Skills-based evaluation,Laboratory Report,14.2%,Multiple weeks,Up to 10 pages,Chemistry Academic Operations
3,CHEM3118,2024-S1C-ND-CC,Skills-based evaluation,In-Laboratory Assessment,16.3%,Ongoing,Continuous throughout laboratory session,Chemistry Academic Operations
4,CHEM3118,2024-S1C-ND-CC,Online task,In-Semester Quiz,10%,9 Mar 2024,25 minutes 12 questions,Chemistry Academic Operations
5,CHEM3118,2024-S1C-ND-CC,Assignment,Written assignment,12%,5 May 2024,Varied,Chemistry Academic Operations
0,CHEM3918,2024-S1C-ND-CC,,Final exam,38%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM3918,2024-S1C-ND-CC,Presentation,Laboratory Presentation,7.8%,Multiple weeks,5 minutes plus discussion,Chemistry Academic Operations
2,CHEM3918,2024-S1C-ND-CC,Skills-based evaluation,Laboratory Report,11.7%,Multiple weeks,up to 10 pages,Chemistry Academic Operations
3,CHEM3918,2024-S1C-ND-CC,Skills-based evaluation,In-Laboratory Assessment,13.5%,Ongoing,Continuous throughout laboratory session,Chemistry Academic Operations
4,CHEM3918,2024-S1C-ND-CC,Online task,In-Semester Quiz,10%,9 Mar 2024,25 minutes 12 questions,Chemistry Academic Operations
5,CHEM3918,2024-S1C-ND-CC,Assignment,Advanced Assignment 1,3.5%,4 Apr 2024,Varied,Chemistry Academic Operations
6,CHEM3918,2024-S1C-ND-CC,Assignment,Written assignment,12%,5 May 2024,Varied,Chemistry Academic Operations
7,CHEM3918,2024-S1C-ND-CC,Assignment,Advanced Assignment 2,3.5%,6 May 2024,Varied,Chemistry Academic Operations
0,CHEM3119,2024-S1C-ND-CC,,Final exam,38%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM3119,2024-S1C-ND-CC,Presentation,Laboratory Presentation,9.5%,Multiple weeks,5 minutes plus discussion,Chemistry Academic Operations
2,CHEM3119,2024-S1C-ND-CC,Skills-based evaluation,Laboratory Report,14.2%,Multiple weeks,Up to 10 pages,Chemistry Academic Operations
3,CHEM3119,2024-S1C-ND-CC,Skills-based evaluation,In-Laboratory Assessment,16.3%,Ongoing,Continuous throughout laboratory session,Chemistry Academic Operations
4,CHEM3119,2024-S1C-ND-CC,Online task,In-Semester quiz,10%,2 Apr 2024,25 minutes 10 questions,Chemistry Academic Operations
5,CHEM3119,2024-S1C-ND-CC,Assignment,Written assignment,12%,2 May 2024,Varied,Chemistry Academic Operations
0,CHEM3919,2024-S1C-ND-CC,,Final exam,38%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM3919,2024-S1C-ND-CC,Presentation,Laboratory Presentation,7.8%,Multiple weeks,5 minutes plus discussion,Chemistry Academic Operations
2,CHEM3919,2024-S1C-ND-CC,Skills-based evaluation,Laboratory Report,11.7%,Multiple weeks,up to 10 pages,Chemistry Academic Operations
3,CHEM3919,2024-S1C-ND-CC,Skills-based evaluation,In-Laboratory Assessment,13.5%,Ongoing,Continuous throughout laboratory session,Chemistry Academic Operations
4,CHEM3919,2024-S1C-ND-CC,Online task,In-Semester test,10%,2 Apr 2024,25 minutes 10 questions,Chemistry Academic Operations
5,CHEM3919,2024-S1C-ND-CC,Assignment,Advanced Assignment 1,3.5%,4 Apr 2024,Varied,Chemistry Academic Operations
6,CHEM3919,2024-S1C-ND-CC,Assignment,Written assignment,12%,2 May 2024,Varied,Chemistry Academic Operations
7,CHEM3919,2024-S1C-ND-CC,Assignment,Advanced Assignment 2,3.5%,6 May 2024,Varied,Chemistry Academic Operations
0,CHEM3120,2024-S1C-ND-CC,,Final exam,38%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM3120,2024-S1C-ND-CC,Presentation,Laboratory Presentation,9.5%,Multiple weeks,5 minutes plus discussion,Chemistry Academic Operations
2,CHEM3120,2024-S1C-ND-CC,Skills-based evaluation,Laboratory Report,14.2%,Multiple weeks,Up to 10 pages,Chemistry Academic Operations
3,CHEM3120,2024-S1C-ND-CC,Skills-based evaluation,In-Laboratory Assessment,16.3%,Ongoing,Continuous throughout laboratory session,Chemistry Academic Operations
4,CHEM3120,2024-S1C-ND-CC,Online task,In-Semester Quiz,10%,9 Apr 2024,30 minutes,Chemistry Academic Operations
5,CHEM3120,2024-S1C-ND-CC,Assignment,Written assignment,12%,5 May 2024,Varied,Chemistry Academic Operations
0,CHEM3920,2024-S1C-ND-CC,,Final exam,38%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM3920,2024-S1C-ND-CC,Presentation,Laboratory Presentation,7.8%,Multiple weeks,5 minutes plus discussion,Chemistry Academic Operations
2,CHEM3920,2024-S1C-ND-CC,Skills-based evaluation,Laboratory Report,11.7%,Multiple weeks,Up to 10 pages,Chemistry Academic Operations
3,CHEM3920,2024-S1C-ND-CC,Skills-based evaluation,In Laboratory Assessment,13.5%,Ongoing,Continuous throughout laboratory session,Chemistry Academic Operations
4,CHEM3920,2024-S1C-ND-CC,Assignment,Advanced Assignment 1,3.5%,4 Apr 2024,Varied,Chemistry Academic Operations
5,CHEM3920,2024-S1C-ND-CC,Online task,In-Semester Quiz,10%,9 Apr 2024,30 minutes,Chemistry Academic Operations
6,CHEM3920,2024-S1C-ND-CC,Assignment,Written assignment,12%,5 May 2024,Varied,Chemistry Academic Operations
7,CHEM3920,2024-S1C-ND-CC,Assignment,Advanced Assignment 2,3.5%,6 May 2024,Varied,Chemistry Academic Operations
0,CHNS1101,2024-S1C-ND-CC,Tutorial quiz,Classwork,10%,Ongoing,100 words,Chinese Studies
1,CHNS1101,2024-S1C-ND-CC,Assignment,"Online, individual learning tasks",20%,Ongoing,600 words/ 2 x 30 minutes,Chinese Studies
2,CHNS1101,2024-S1C-ND-CC,Online task,Early Feedback Task,0%,8 Mar 2024,20 Mints,Chinese Studies
3,CHNS1101,2024-S1C-ND-CC,Presentation,Oral assessment,20%,8 Mar 2024,1000 words/ 2x3 minutes,Chinese Studies
4,CHNS1101,2024-S1C-ND-CC,Small test,Written Project 1,15%,2 Apr 2024,1000 words/ 1.5 hours,Chinese Studies
5,CHNS1101,2024-S1C-ND-CC,Presentation,Oral Assessment,20%,7 May 2024,800 words/1.5 hours,Chinese Studies
6,CHNS1101,2024-S1C-ND-CC,Small test,Written Project 2,15%,4 May 2024,1000 words/ 1.5 hours,Chinese Studies
0,CHNS2601,2024-S1C-ND-CC,Assignment,Short Composition 1,7.5%,4 Mar 2024,300wds equivalent,Chinese Studies
1,CHNS2601,2024-S1C-ND-CC,Small test,Test 1,20%,Week 07,1200wds equivalent,Chinese Studies
2,CHNS2601,2024-S1C-ND-CC,Assignment,Short Composition 2,7.5%,8 Apr 2024,300wds equivalent,Chinese Studies
3,CHNS2601,2024-S1C-ND-CC,Presentation,Group Presentation,20%,Week 10,1000wds equivalent,Chinese Studies
4,CHNS2601,2024-S1C-ND-CC,Presentation,Oral Interview,15%,Week 12,500wds equivalent,Chinese Studies
5,CHNS2601,2024-S1C-ND-CC,Small test,Test 2,20%,Week 13,1200wds equivalent,Chinese Studies
6,CHNS2601,2024-S1C-ND-CC,Participation,Participation,10%,Weekly,Throughout the semester,Chinese Studies
0,CHNS3601,2024-S1C-ND-CC,Participation,Class work and participation,10%,Multiple weeks,Equivalent to 500wds,Chinese Studies
